net,length_um
_08747_,310.11
_04359_,309.77
_07185_,309.55
_07695_,308.84
clknet_4_9__leaf_i_clk,307.87
_03066_,306.39
_04545_,306.33
_08741_,306.33
_05846_,306.25
_05823_,306.18
_03836_,304.4
net57,303.56
_05845_,303.52
_07183_,303.15
_05364_,302.855
_05604_,302.84
_05765_,302.58
_03783_,302.175
_05822_,301.23
_07678_,300.915
_05012_,300.78
_07178_,300.76
_05005_,300.61
_05811_,300.61
_03815_,300.56
_07686_,300.52
_03816_,299.38
_04498_,298.85
_08787_,298.69
net13,297.93
blkProj14999_7.blk3995_50.rs2_data_o\[5\],297.3
net24,297.26
_03334_,297.08
_07202_,296.965
blkProj14999_7.blk3995_50.rs2_data_o\[3\],295.72
_04453_,295.56
_08862_,295.17
_02953_,295.01
clknet_4_8__leaf_i_clk,294.98
_03775_,294.7
_03115_,294.69
_08621_,293.61
_08755_,293.52
_05515_,293.45
_07182_,293.31
_06722_,292.98
_07176_,292.905
_08934_,292.7
_02995_,292.34
_05403_,290.68
_05009_,290.335
_03772_,289.96
_05006_,289.76
_05011_,289.69
_06718_,288.67
_06724_,287.31
_08715_,285.5
_03808_,285.33
_04543_,285.095
_05357_,284.73
_03801_,284.55
_03810_,284.02
_08825_,283.69
_03044_,283.62
_08713_,282.64
clknet_4_14__leaf_i_clk,282.13
_07179_,281.785
_05004_,281
_02945_,280.18
_09009_,280.13
_04549_,279.96
_05400_,279.22
_04547_,278.68
_08717_,278.62
_03798_,278.22
blkProj14999_7.blk3995_50.rs2_data_o\[8\],276.36
_04994_,276.24
_03760_,275.4
_03774_,275.08
_03299_,274.28
_07177_,273.69
_08106_,273.385
_05420_,272.73
_03813_,272.41
clknet_4_11__leaf_i_clk,272.21
_05031_,269.98
_05411_,268.54
_03829_,268.45
_03740_,267.34
_08111_,266.72
_03826_,266.38
_02955_,265.71
_03766_,264.63
_05349_,264.53
_08739_,264.515
_05819_,264.36
_07204_,263.05
_02943_,262.82
_05910_,262.56
_07685_,262.445
_05444_,261.425
_08751_,261.32
net27,261.08
_06344_,260.88
_08711_,260.8
net2,260.195
_05946_,259.88
_08949_,259.83
_07205_,259.74
_04489_,259.72
_07203_,259.08
_07681_,258.92
_03762_,258.06
_03802_,257.94
_05784_,257.35
_05030_,257.07
blkProj14999_7.blk3995_50.rs2_data_o\[14\],257.005
_07943_,255.87
_08128_,255.83
_06325_,255.66
_08129_,255.43
_03790_,255.26
_07197_,255.24
_04577_,254.5
_05941_,254.275
_00470_,253.9
_08749_,253.84
_05029_,253.74
_03768_,252.51
_08102_,252.2
_05032_,250.19
_03735_,249.97
_03746_,249.29
blkProj14999_7.blk3995_50.rs2_data_o\[20\],249.24
_06150_,249.23
_08753_,249.04
_06304_,248.76
_03837_,248.4
_04485_,247.89
_08585_,247.82
_06756_,247.26
blkProj14999_7.blk3995_50.rs2_data_o\[11\],247.075
_05346_,246.825
_07195_,246.435
_05613_,245.18
_03792_,244.64
_05025_,244.01
_05884_,243.9
net7,243.38
_08403_,243.115
_05388_,242.67
_06754_,241.96
_05887_,241.72
_03079_,240.72
_04581_,239.65
_07688_,238.75
_08898_,238.6
_05781_,238.35
_02983_,238.06
_03446_,237.68
_08160_,237.61
_07784_,237.3
_06020_,237.2
_06080_,236.655
_03827_,236.63
_06364_,236.1
_03604_,236.085
_05374_,236.04
_05392_,236
_08840_,235.46
_05728_,235.27
_08681_,235.18
_07198_,234.92
_08875_,234.82
blkProj14999_7.blk3989_105.MULT\[26\],234.75
_06496_,234.64
blkProj14999_7.blk3995_50.rs2_data_o\[15\],234.505
_05473_,234.47
_05370_,234.43
_05962_,233.12
_03845_,232.335
_06903_,232.24
_07169_,232.15
_04579_,231.88
blkProj14999_7.blk3989_105.MULT\[27\],231.65
_00960_,231.38
_07199_,230.88
blkProj14999_7.blk3994_49.rs1_data_o\[0\],230.85
_08477_,230.82
_05023_,230.47
blkProj14999_7.blk3995_50.rs2_data_o\[4\],229.63
blkProj14999_7.blk3995_50.rs2_data_o\[21\],229
_05383_,228
_06752_,227.95
_08759_,227.64
_08313_,227.62
_06260_,227.02
_02957_,226.755
blkProj14999_7.blk3995_50.rs2_data_o\[13\],225.4
_05396_,225.15
_05022_,225.135
_03030_,224.8
_08586_,223.64
_08971_,222.74
_04918_,222.575
_05026_,222.06
_03738_,221.97
_05334_,221.955
blkProj14999_7.blk3995_50.rs2_data_o\[12\],221.755
_05585_,220.85
_04390_,220.76
_05705_,220.72
_05790_,220.59
_06362_,220.56
_05035_,220.485
_06923_,220.385
_03741_,219.385
_07196_,219.275
_05780_,218.705
_03695_,218.5
_04781_,218.43
_05394_,218.06
blkProj14999_7.blk3989_105.MULT\[30\],217.47
_06417_,217.32
_02959_,217.06
_03878_,216.77
_03877_,216.74
_05024_,216.6
_03190_,216.36
_07149_,216.32
_04487_,216.18
blkProj14999_7.blk3989_105.MULT\[29\],216.01
_06725_,215.435
_05340_,215.39
_08286_,215.36
net30,215.24
_03445_,215.235
_05856_,214.99
blkProj14999_7.blk3995_50.rs2_data_o\[6\],214.76
blkProj14999_7.blk3995_50.rs2_data_o\[19\],214.73
_04546_,213.85
_04956_,213.4
_03694_,213.31
_03780_,213.02
_08876_,212.92
_04025_,212.82
_03370_,212.68
_05378_,212.41
_03864_,211.74
_08137_,211.7
_06721_,211.06
_03918_,211.01
_05448_,210.78
_06379_,210.72
_05275_,210.48
_06605_,210.46
_03797_,210.34
_08757_,210.25
_08550_,209.47
_07677_,209.1
_03765_,208.47
_07090_,208.26
_07168_,208.225
_03008_,208.22
blkProj14999_7.blk3989_105.MULT\[28\],208.11
_05620_,208.09
_07071_,207.95
_08499_,207.85
_07752_,207.48
_05972_,207.355
_05599_,207.04
_02939_,207.01
_08425_,206.79
_06186_,206.7
_04899_,206.27
blkProj14999_7.blk3995_50.rs2_data_o\[23\],205.88
_04975_,205.64
_04544_,205.505
_04996_,204.52
_04937_,203.915
_04584_,203.75
_05047_,203.66
_03846_,203.44
_07210_,203.16
blkProj14999_7.blk3995_50.rs2_data_o\[18\],202.68
_06719_,202.65
_05343_,202.58
_03777_,201.98
_03843_,201.325
_04597_,201.285
_05816_,200.83
_06469_,200.64
_08697_,200.52
_03941_,200.45
_05864_,199.98
_06723_,199.57
_06235_,199.34
_03825_,199.3
_07128_,198.99
_07913_,198.91
_06444_,198.78
_04550_,198.64
_04880_,198.64
_06734_,198.54
_06761_,198.5
_02915_,198.28
_04343_,198.26
_04555_,198.13
blkProj14999_7.blk3995_50.rs2_data_o\[22\],198.11
_03856_,197.89
_04376_,197.88
_03442_,197.58
_05036_,197
_05608_,196.72
_05793_,196.7
_08100_,196.365
_06759_,195.92
_04557_,195.785
_04548_,195.78
_06679_,195.58
_05625_,195.57
_04436_,195.44
_07188_,195.095
_05016_,194.65
_08608_,194.6
_06550_,194.05
_05431_,193.38
_04110_,193.25
_04586_,193.21
_07109_,192.86
_05583_,192.45
_03938_,192.34
_05284_,192.165
_05015_,192.045
_05789_,191.8
_03201_,191.38
_08987_,190.52
_08923_,190.46
_07951_,190.34
_03335_,189.92
_04559_,189.68
_06569_,189.17
_03763_,189.11
_00651_,188.82
net552,188.76
_08633_,188.61
_06436_,187.95
_07719_,187.93
_03227_,187.68
_05484_,187.53
_04118_,187.285
_06730_,187.12
_03003_,186.9
_03754_,186.5
_08271_,186.5
_05269_,186.36
_06398_,186
